Freq.	V(n001)	V(n003)
2.13796208950224e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-5.80714598640392e-05dB,-3.00169543793007e-01°)
2.16271852372703e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-5.94241138009222e-05dB,-3.03645328359220e-01°)
2.18776162394956e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-6.08082748996817e-05dB,-3.07161360091565e-01°)
2.21309470960565e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-6.22246770569835e-05dB,-3.10718105013417e-01°)
2.23872113856835e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-6.36740712409760e-05dB,-3.14316034531824e-01°)
2.26464430759307e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-6.51572259320327e-05dB,-3.17955625539141e-01°)
2.29086765276778e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-6.66749274853867e-05dB,-3.21637360400159e-01°)
2.31739464996849e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-6.82279806278092e-05dB,-3.25361727149133e-01°)
2.34422881531993e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-6.98172087517805e-05dB,-3.29129219362408e-01°)
2.37137370566167e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-7.14434544902837e-05dB,-3.32940336412682e-01°)
2.39883291901950e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-7.31075800726988e-05dB,-3.36795583430676e-01°)
2.42661009508243e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-7.48104678330622e-05dB,-3.40695471394000e-01°)
2.45470891568504e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-7.65530206344332e-05dB,-3.44640517190582e-01°)
2.48313310529558e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-7.83361623839101e-05dB,-3.48631243694803e-01°)
2.51188643150959e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-8.01608384936474e-05dB,-3.52668179830912e-01°)
2.54097270554932e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-8.20280164219146e-05dB,-3.56751860674592e-01°)
2.57039578276888e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-8.39386861408699e-05dB,-3.60882827459108e-01°)
2.60015956316529e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-8.58938606805199e-05dB,-3.65061627695945e-01°)
2.63026799189540e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-8.78945766929325e-05dB,-3.69288815263632e-01°)
2.66072505979882e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-8.99418949335228e-05dB,-3.73564950401143e-01°)
2.69153480392693e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-9.20369008918131e-05dB,-3.77890599866680e-01°)
2.72270130807793e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-9.41807053556591e-05dB,-3.82266337001020e-01°)
2.75422870333818e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-9.63744449320848e-05dB,-3.86692741708182e-01°)
2.78612116862979e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-9.86192827773828e-05dB,-3.91170400709580e-01°)
2.81838293126447e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.00916409063956e-04dB,-3.95699907422891e-01°)
2.85101826750393e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.03267041735499e-04dB,-4.00281862190756e-01°)
2.88403150312662e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.05672427093431e-04dB,-4.04916872299559e-01°)
2.91742701400119e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.08133840459508e-04dB,-4.09605552049088e-01°)
2.95120922666640e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.10652586853880e-04dB,-4.14348522853984e-01°)
2.98538261891798e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.13230001719434e-04dB,-4.19146413345181e-01°)
3.01995172040204e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.15867451585396e-04dB,-4.23999859414088e-01°)
3.05492111321553e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.18566334813869e-04dB,-4.28909504307642e-01°)
3.09029543251361e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.21328082326126e-04dB,-4.33875998723352e-01°)
3.12607936712398e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.24154158398349e-04dB,-4.38900000910688e-01°)
3.16227766016840e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.27046061384079e-04dB,-4.43982176715208e-01°)
3.19889510969142e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.30005324557214e-04dB,-4.49123199699008e-01°)
3.23593656929630e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.33033516895239e-04dB,-4.54323751232524e-01°)
3.27340694878840e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.36132243920311e-04dB,-4.59584520554520e-01°)
3.31131121482593e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.39303148543253e-04dB,-4.64906204886129e-01°)
3.34965439157830e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.42547911957701e-04dB,-4.70289509541694e-01°)
3.38844156139205e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.45868254498584e-04dB,-4.75735147975985e-01°)
3.42767786546453e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.49265936589328e-04dB,-4.81243841920450e-01°)
3.46736850452534e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.52742759624463e-04dB,-4.86816321433582e-01°)
3.50751873952571e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.56300566997861e-04dB,-4.92453325065751e-01°)
3.54813389233578e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.59941244993073e-04dB,-4.98155599877730e-01°)
3.58921934645008e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.63666723880065e-04dB,-5.03923901611854e-01°)
3.63078054770104e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.67478978825831e-04dB,-5.09758994723223e-01°)
3.67282300498087e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.71380031057691e-04dB,-5.15661652547639e-01°)
3.71535229097175e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.75371948853016e-04dB,-5.21632657361389e-01°)
3.75837404288447e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.79456848661081e-04dB,-5.27672800488711e-01°)
3.80189396320564e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.83636896238442e-04dB,-5.33782882425140e-01°)
3.84591782045357e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.87914307773709e-04dB,-5.39963712925840e-01°)
3.89045144994284e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.92291351081787e-04dB,-5.46216111122542e-01°)
3.93550075455781e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-1.96770346783649e-04dB,-5.52540905618182e-01°)
3.98107170553500e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.01353669561365e-04dB,-5.58938934622875e-01°)
4.02717034325462e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.06043749417963e-04dB,-5.65411046038951e-01°)
4.07380277804116e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.10843072924774e-04dB,-5.71958097584148e-01°)
4.12097519097334e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.15754184580668e-04dB,-5.78580956902041e-01°)
4.16869383470339e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.20779688173235e-04dB,-5.85280501694707e-01°)
4.21696503428586e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.25922248082138e-04dB,-5.92057619791750e-01°)
4.26579518801596e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.31184590798490e-04dB,-5.98913209336963e-01°)
4.31519076827769e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.36569506282267e-04dB,-6.05848178841387e-01°)
4.36515832240170e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.42079849470164e-04dB,-6.12863447334920e-01°)
4.41570447353316e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.47718541812430e-04dB,-6.19959944492445e-01°)
4.46683592150967e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.53488572800078e-04dB,-6.27138610756746e-01°)
4.51855944374926e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.59393001524915e-04dB,-6.34400397426395e-01°)
4.57088189614879e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.65434958356296e-04dB,-6.41746266839008e-01°)
4.62381021399264e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.71617646567761e-04dB,-6.49177192459054e-01°)
4.67735141287202e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.77944344010968e-04dB,-6.56694159006956e-01°)
4.73151258961485e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.84418404928522e-04dB,-6.64298162626320e-01°)
4.78630092322643e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.91043261640516e-04dB,-6.71990210962060e-01°)
4.84172367584104e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.97822426418204e-04dB,-6.79771323330706e-01°)
4.89778819368451e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.04759493350959e-04dB,-6.87642530849322e-01°)
4.95450190804795e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.11858140190135e-04dB,-6.95604876545280e-01°)
5.01187233627277e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.19122130418636e-04dB,-7.03659415564580e-01°)
5.06990708274709e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.26555315105480e-04dB,-7.11807215217910e-01°)
5.12861383991370e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.34161635031405e-04dB,-7.20049355185673e-01°)
5.18800038928966e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.41945122758594e-04dB,-7.28386927637073e-01°)
5.24807460249778e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.49909904758312e-04dB,-7.36821037384133e-01°)
5.30884444230993e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.58060203625408e-04dB,-7.45352802019742e-01°)
5.37031796370258e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.66400340266832e-04dB,-7.53983352068360e-01°)
5.43250331492438e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.74934736272482e-04dB,-7.62713831152550e-01°)
5.49540873857630e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.83667916133757e-04dB,-7.71545396089483e-01°)
5.55904257270409e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-3.92604509796809e-04dB,-7.80479217133642e-01°)
5.62341325190355e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.01749254970923e-04dB,-7.89516478035022e-01°)
5.68852930843847e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.11106999732074e-04dB,-7.98658376259422e-01°)
5.75439937337163e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.20682705060989e-04dB,-8.07906123129152e-01°)
5.82103217770877e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.30481447464224e-04dB,-8.17260943970031e-01°)
5.88843655355595e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.40508421705282e-04dB,-8.26724078309155e-01°)
5.95662143529017e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.50768943479877e-04dB,-8.36296779980379e-01°)
6.02559586074364e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.61268452325653e-04dB,-8.45980317356883e-01°)
6.09536897240176e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.72012514432665e-04dB,-8.55775973462816e-01°)
6.16595001861489e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.83006825623706e-04dB,-8.65685046173871e-01°)
6.23734835482426e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-4.94257214352102e-04dB,-8.75708848370062e-01°)
6.30957344480200e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-5.05769644853925e-04dB,-8.85848708142448e-01°)
6.38263486190556e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-5.17550220218363e-04dB,-8.96105968928197e-01°)
6.45654229034662e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-5.29605185682917e-04dB,-9.06481989710727e-01°)
6.53130552647479e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-5.41940931921019e-04dB,-9.16978145192692e-01°)
6.60693448007603e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-5.54563998412731e-04dB,-9.27595825968853e-01°)
6.68343917568622e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-5.67481076961214e-04dB,-9.38336438736969e-01°)
6.76082975391989e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-5.80699015180426e-04dB,-9.49201406451329e-01°)
6.83911647281437e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-5.94224820166207e-04dB,-9.60192168538140e-01°)
6.91830970918944e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-6.08065662162729e-04dB,-9.71310181053552e-01°)
6.99841996002281e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-6.22228878429703e-04dB,-9.82556916914659e-01°)
7.07945784384146e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-6.36721977051920e-04dB,-9.93933866057218e-01°)
7.16143410212910e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-6.51552640976584e-04dB,-1.00544253565680e+00°)
7.24435960074998e+02	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-6.66728732064352e-04dB,-1.01708445032119e+00°)
